STATUS | wrapper  | 2024/12/31 11:44:31 | Java Service Wrapper Professional Edition 64-bit 3.5.53
STATUS | wrapper  | 2024/12/31 11:44:31 |   Copyright (C) 1999-2023 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/12/31 11:44:31 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/12/31 11:44:31 |   Licensed to Oracle America, Inc. for EFTLink
STATUS | wrapper  | 2024/12/31 11:44:31 | 
INFO   | wrapper  | 2024/12/31 11:44:32 | Event: wrapper_start
INFO   | wrapper  | 2024/12/31 11:44:32 | Event: jvm_prelaunch
STATUS | wrapper  | 2024/12/31 11:44:32 | Launching a JVM...
INFO   | wrapper  | 2024/12/31 11:44:32 | Event: jvm_start
INFO   | jvm 1    | 2024/12/31 11:44:33 | WrapperManager: Initializing...
INFO   | wrapper  | 2024/12/31 11:44:37 | Event: jvm_started
INFO   | jvm 1    | 2024/12/31 11:46:08 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 1    | 2024/12/31 11:46:08 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 1    | 2024/12/31 11:46:08 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
STATUS | wrapper  | 2024/12/31 11:57:02 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/12/31 11:57:03 | Java Service Wrapper Professional Edition 64-bit 3.5.53
STATUS | wrapper  | 2024/12/31 11:57:03 |   Copyright (C) 1999-2023 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/12/31 11:57:03 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/12/31 11:57:03 |   Licensed to Oracle America, Inc. for EFTLink
STATUS | wrapper  | 2024/12/31 11:57:03 | 
INFO   | wrapper  | 2024/12/31 11:57:03 | Event: wrapper_start
INFO   | wrapper  | 2024/12/31 11:57:03 | Event: jvm_prelaunch
STATUS | wrapper  | 2024/12/31 11:57:03 | Launching a JVM...
INFO   | wrapper  | 2024/12/31 11:57:03 | Event: jvm_start
INFO   | jvm 1    | 2024/12/31 11:57:04 | WrapperManager: Initializing...
INFO   | wrapper  | 2024/12/31 11:57:06 | Event: jvm_started
INFO   | jvm 1    | 2024/12/31 11:58:02 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 1    | 2024/12/31 11:58:02 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 1    | 2024/12/31 11:58:02 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
